X,Y
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728561179,-20.3894613367
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.2728897006,-20.2042118181
64.3967370561,-20.2042342685
64.6446667613,-18.9075325327
65.0164436534,-17.6108532166
65.3881868302,-16.4994233968
65.759963397,-15.2027440295
66.2556205324,-13.7208375251
66.5035160244,-12.6093852147
66.5037170869,-11.4978880901
66.8755265737,-10.0159591204
66.9996751574,-8.3487358205
67.3714843109,-6.86680680886
67.6194797119,-5.19960587006
67.4959339866,-3.53233778384
67.743828796,-2.42088540271
68.2392501294,-2.23572536279
67.9914223489,-2.97667871974
67.8673745695,-4.08815348707
67.7432932717,-5.38487777114
67.7431259204,-6.31112538371
67.7429250989,-7.42262251768
67.6189106492,-8.34884774964
67.6187098036,-9.46034487803
67.7422891642,-10.9423634233
67.6182076897,-12.2390876925
67.3702789483,-13.5357895726
66.9985028555,-14.832469048
66.502879327,-16.1291260943
66.1310693463,-17.6110550268
66.1308011669,-19.0930511784
66.13056651,-20.3897978058
66.2541792407,-21.6865668446
66.1300971963,-22.9832910588
66.2538775752,-23.3538125036
66.1300301515,-23.3537900941
66.0061827276,-23.3537676809
66.0062497805,-22.9832686456
65.8823688344,-23.1684957473
66.0062162541,-23.1685181633
66.0062162541,-23.1685181633
66.0061827276,-23.3537676809
66.0061827276,-23.3537676809
65.7585214147,-23.1684733294
