[4811.9412, 'N', 300.901, 'W', 171638.0]
[4811.9415, 'N', 300.902, 'W', 171639.0]
[4811.9418, 'N', 300.9031, 'W', 171640.0]
[4811.9421, 'N', 300.9041, 'W', 171641.0]
[4811.9425, 'N', 300.905, 'W', 171642.0]
[4811.9429, 'N', 300.9059, 'W', 171643.0]
[4811.9433, 'N', 300.9067, 'W', 171644.0]
[4811.9437, 'N', 300.9076, 'W', 171645.0]
[4811.9441, 'N', 300.9085, 'W', 171646.0]
[4811.9446, 'N', 300.9094, 'W', 171647.0]
[4811.9451, 'N', 300.9102, 'W', 171648.0]
[4811.9455, 'N', 300.9111, 'W', 171649.0]
[4811.946, 'N', 300.912, 'W', 171650.0]
[4811.9465, 'N', 300.9128, 'W', 171651.0]
[4811.947, 'N', 300.9136, 'W', 171652.0]
[4811.9475, 'N', 300.9145, 'W', 171653.0]
[4811.9481, 'N', 300.9154, 'W', 171654.0]
[4811.9486, 'N', 300.9162, 'W', 171655.0]
[4811.9492, 'N', 300.917, 'W', 171656.0]
[4811.9498, 'N', 300.9178, 'W', 171657.0]
[4811.9503, 'N', 300.9187, 'W', 171658.0]
[4811.9509, 'N', 300.9195, 'W', 171659.0]
[4811.9514, 'N', 300.9202, 'W', 171700.0]
[4811.952, 'N', 300.9209, 'W', 171701.0]
[4811.9525, 'N', 300.9217, 'W', 171702.0]
[4811.953, 'N', 300.9225, 'W', 171703.0]
[4811.9535, 'N', 300.9232, 'W', 171704.0]
[4811.9541, 'N', 300.924, 'W', 171705.0]
[4811.9545, 'N', 300.925, 'W', 171706.0]
[4811.955, 'N', 300.9257, 'W', 171707.0]
[4811.9555, 'N', 300.9263, 'W', 171708.0]
[4811.9559, 'N', 300.9271, 'W', 171709.0]
[4811.9564, 'N', 300.9279, 'W', 171710.0]
[4811.9569, 'N', 300.9286, 'W', 171711.0]
[4811.9575, 'N', 300.9294, 'W', 171712.0]
[4811.958, 'N', 300.9302, 'W', 171713.0]
[4811.9586, 'N', 300.9309, 'W', 171714.0]
[4811.9591, 'N', 300.9316, 'W', 171715.0]
[4811.9596, 'N', 300.9324, 'W', 171716.0]
[4811.9601, 'N', 300.9332, 'W', 171717.0]
[4811.9606, 'N', 300.9341, 'W', 171718.0]
[4811.9611, 'N', 300.9349, 'W', 171719.0]
