Latitude,Longitude
48.19896666666667,-3.0136950000000002
48.198965,-3.0136966666666667
48.198965,-3.0136966666666667
48.19889499999999,-3.0138666666666665
48.19889,-3.0138650000000005
48.198886666666674,-3.0138650000000005
48.198879999999996,-3.013868333333334
48.198871666666676,-3.0138666666666665
48.198859999999996,-3.0138666666666665
48.19884999999999,-3.01387
48.19884333333333,-3.0138716666666663
48.198838333333335,-3.013876666666667
48.198834999999995,-3.0138800000000003
48.19883333333334,-3.013878333333333
48.19883166666667,-3.0138749999999996
48.19883,-3.01387
48.198826666666676,-3.01387
