[4811.9995, 'N', 300.953, 'W', 160545.0]
[4811.9989, 'N', 300.9525, 'W', 160546.0]
[4811.9983, 'N', 300.9518, 'W', 160547.0]
[4811.9978, 'N', 300.9511, 'W', 160548.0]
[4811.9972, 'N', 300.9502, 'W', 160549.0]
[4811.9967, 'N', 300.9491, 'W', 160550.0]
[4811.9962, 'N', 300.9479, 'W', 160551.0]
[4811.9959, 'N', 300.9466, 'W', 160552.0]
[4811.9955, 'N', 300.9453, 'W', 160553.0]
[4811.9953, 'N', 300.9439, 'W', 160554.0]
[4811.9951, 'N', 300.9425, 'W', 160555.0]
[4811.9951, 'N', 300.9412, 'W', 160556.0]
[4811.9952, 'N', 300.9399, 'W', 160557.0]
[4811.9954, 'N', 300.9387, 'W', 160558.0]
[4811.9956, 'N', 300.9376, 'W', 160559.0]
[4811.996, 'N', 300.9366, 'W', 160600.0]
[4811.9964, 'N', 300.9355, 'W', 160601.0]
[4811.9968, 'N', 300.9345, 'W', 160602.0]
[4811.9974, 'N', 300.9335, 'W', 160603.0]
[4811.9981, 'N', 300.9326, 'W', 160604.0]
[4811.9989, 'N', 300.9317, 'W', 160605.0]
[4811.9998, 'N', 300.931, 'W', 160606.0]
[4812.0009, 'N', 300.9305, 'W', 160607.0]
[4812.0019, 'N', 300.9303, 'W', 160607.0]
[4812.0028, 'N', 300.9303, 'W', 160608.0]
[4812.0037, 'N', 300.9306, 'W', 160609.0]
[4812.0047, 'N', 300.9309, 'W', 160610.0]
[4812.0057, 'N', 300.9312, 'W', 160611.0]
[4812.0067, 'N', 300.9317, 'W', 160612.0]
[4812.0076, 'N', 300.9323, 'W', 160613.0]
[4812.0085, 'N', 300.9329, 'W', 160614.0]
[4812.0093, 'N', 300.9337, 'W', 160615.0]
[4812.0102, 'N', 300.9346, 'W', 160616.0]
[4812.0109, 'N', 300.9356, 'W', 160617.0]
[4812.0117, 'N', 300.9367, 'W', 160618.0]
[4812.0124, 'N', 300.9379, 'W', 160619.0]
[4812.013, 'N', 300.9392, 'W', 160620.0]
[4812.0136, 'N', 300.9406, 'W', 160621.0]
[4812.0142, 'N', 300.9421, 'W', 160622.0]
[4812.0146, 'N', 300.9436, 'W', 160623.0]
[4812.015, 'N', 300.9452, 'W', 160624.0]
[4812.0153, 'N', 300.9467, 'W', 160625.0]
[4812.0154, 'N', 300.9483, 'W', 160626.0]
[4812.0154, 'N', 300.9497, 'W', 160627.0]
