[4812.015, 'N', 300.92, 'W', 95214.0]
[4812.0152, 'N', 300.9203, 'W', 95215.0]
[4812.0155, 'N', 300.9206, 'W', 95216.0]
[4812.0158, 'N', 300.9209, 'W', 95217.0]
[4812.016, 'N', 300.9213, 'W', 95218.0]
[4812.0163, 'N', 300.9216, 'W', 95219.0]
[4812.0165, 'N', 300.922, 'W', 95220.0]
[4812.0168, 'N', 300.9224, 'W', 95221.0]
[4812.017, 'N', 300.9228, 'W', 95222.0]
[4812.0173, 'N', 300.9231, 'W', 95223.0]
[4812.0175, 'N', 300.9235, 'W', 95224.0]
[4812.0178, 'N', 300.9239, 'W', 95225.0]
[4812.0181, 'N', 300.9242, 'W', 95226.0]
[4812.0184, 'N', 300.9246, 'W', 95227.0]
[4812.0187, 'N', 300.925, 'W', 95228.0]
[4812.0189, 'N', 300.9254, 'W', 95229.0]
[4812.0192, 'N', 300.9258, 'W', 95230.0]
[4812.0194, 'N', 300.9262, 'W', 95231.0]
[4812.0197, 'N', 300.9266, 'W', 95232.0]
[4812.0199, 'N', 300.927, 'W', 95233.0]
[4812.0202, 'N', 300.9274, 'W', 95234.0]
[4812.0204, 'N', 300.9278, 'W', 95235.0]
[4812.0207, 'N', 300.9281, 'W', 95236.0]
[4812.021, 'N', 300.9285, 'W', 95237.0]
[4812.0213, 'N', 300.9289, 'W', 95238.0]
[4812.0215, 'N', 300.9293, 'W', 95239.0]
[4812.0216, 'N', 300.9297, 'W', 95240.0]
[4812.0218, 'N', 300.9301, 'W', 95241.0]
[4812.022, 'N', 300.9306, 'W', 95242.0]
[4812.0223, 'N', 300.931, 'W', 95243.0]
[4812.0225, 'N', 300.9314, 'W', 95244.0]
[4812.0227, 'N', 300.9318, 'W', 95245.0]
[4812.0228, 'N', 300.9322, 'W', 95246.0]
[4812.023, 'N', 300.9326, 'W', 95247.0]
[4812.0232, 'N', 300.9331, 'W', 95248.0]
[4812.0234, 'N', 300.9335, 'W', 95249.0]
[4812.0235, 'N', 300.9339, 'W', 95250.0]
[4812.0237, 'N', 300.9344, 'W', 95251.0]
[4812.0238, 'N', 300.9348, 'W', 95252.0]
[4812.024, 'N', 300.9352, 'W', 95253.0]
[4812.0241, 'N', 300.9357, 'W', 95254.0]
[4812.0242, 'N', 300.9361, 'W', 95255.0]
[4812.0244, 'N', 300.9365, 'W', 95256.0]
[4812.0245, 'N', 300.9369, 'W', 95257.0]
[4812.0246, 'N', 300.9374, 'W', 95258.0]
[4812.0247, 'N', 300.9378, 'W', 95259.0]
[4812.0248, 'N', 300.9383, 'W', 95300.0]
[4812.0248, 'N', 300.9387, 'W', 95301.0]
[4812.0249, 'N', 300.9392, 'W', 95302.0]
[4812.025, 'N', 300.9396, 'W', 95303.0]
[4812.025, 'N', 300.9401, 'W', 95304.0]
[4812.0251, 'N', 300.9406, 'W', 95305.0]
[4812.0251, 'N', 300.941, 'W', 95306.0]
[4812.0251, 'N', 300.9415, 'W', 95307.0]
[4812.0252, 'N', 300.942, 'W', 95308.0]
[4812.0252, 'N', 300.9424, 'W', 95309.0]
[4812.0253, 'N', 300.9429, 'W', 95310.0]
[4812.0253, 'N', 300.9434, 'W', 95311.0]
[4812.0253, 'N', 300.9438, 'W', 95312.0]
[4812.0253, 'N', 300.9442, 'W', 95313.0]
[4812.0252, 'N', 300.9447, 'W', 95314.0]
[4812.0252, 'N', 300.9451, 'W', 95315.0]
[4812.0252, 'N', 300.9455, 'W', 95316.0]
[4812.0251, 'N', 300.9459, 'W', 95317.0]
[4812.0251, 'N', 300.9463, 'W', 95318.0]
[4812.0251, 'N', 300.9468, 'W', 95319.0]
[4812.0251, 'N', 300.9472, 'W', 95320.0]
[4812.025, 'N', 300.9476, 'W', 95321.0]
[4812.0249, 'N', 300.948, 'W', 95322.0]
[4812.0249, 'N', 300.9484, 'W', 95323.0]
[4812.0248, 'N', 300.9489, 'W', 95324.0]
[4812.0247, 'N', 300.9493, 'W', 95325.0]
[4812.0246, 'N', 300.9498, 'W', 95326.0]
[4812.0245, 'N', 300.9502, 'W', 95327.0]
[4812.0244, 'N', 300.9506, 'W', 95328.0]
[4812.0244, 'N', 300.9509, 'W', 95329.0]
[4812.0243, 'N', 300.9513, 'W', 95330.0]
[4812.0242, 'N', 300.9517, 'W', 95331.0]
[4812.0241, 'N', 300.9521, 'W', 95332.0]
[4812.024, 'N', 300.9524, 'W', 95333.0]
[4812.0239, 'N', 300.9528, 'W', 95334.0]
[4812.0237, 'N', 300.9532, 'W', 95335.0]
[4812.0236, 'N', 300.9535, 'W', 95336.0]
[4812.0235, 'N', 300.9539, 'W', 95337.0]
[4812.0233, 'N', 300.9543, 'W', 95338.0]
[4812.0232, 'N', 300.9546, 'W', 95339.0]
[4812.023, 'N', 300.955, 'W', 95340.0]
[4812.0229, 'N', 300.9554, 'W', 95341.0]
[4812.0228, 'N', 300.9557, 'W', 95342.0]
[4812.0226, 'N', 300.9561, 'W', 95343.0]
[4812.0225, 'N', 300.9564, 'W', 95344.0]
[4812.0223, 'N', 300.9567, 'W', 95345.0]
[4812.0221, 'N', 300.957, 'W', 95346.0]
[4812.022, 'N', 300.9573, 'W', 95347.0]
[4812.0218, 'N', 300.9576, 'W', 95348.0]
[4812.0216, 'N', 300.9579, 'W', 95349.0]
[4812.0214, 'N', 300.9583, 'W', 95350.0]
[4812.0212, 'N', 300.9585, 'W', 95351.0]
[4812.0211, 'N', 300.9588, 'W', 95352.0]
[4812.0209, 'N', 300.9591, 'W', 95353.0]
[4812.0207, 'N', 300.9594, 'W', 95354.0]
[4812.0205, 'N', 300.9596, 'W', 95355.0]
[4812.0202, 'N', 300.9599, 'W', 95356.0]
[4812.02, 'N', 300.9602, 'W', 95357.0]
[4812.0198, 'N', 300.9604, 'W', 95358.0]
[4812.0196, 'N', 300.9607, 'W', 95359.0]
[4812.0193, 'N', 300.961, 'W', 95400.0]
[4812.0191, 'N', 300.9612, 'W', 95401.0]
[4812.0188, 'N', 300.9615, 'W', 95402.0]
[4812.0185, 'N', 300.9618, 'W', 95403.0]
[4812.0182, 'N', 300.962, 'W', 95404.0]
[4812.0179, 'N', 300.9623, 'W', 95405.0]
[4812.0176, 'N', 300.9625, 'W', 95406.0]
[4812.0173, 'N', 300.9628, 'W', 95407.0]
[4812.017, 'N', 300.963, 'W', 95408.0]
[4812.0167, 'N', 300.9632, 'W', 95409.0]
[4812.0164, 'N', 300.9634, 'W', 95410.0]
[4812.0161, 'N', 300.9636, 'W', 95411.0]
[4812.0157, 'N', 300.9638, 'W', 95412.0]
[4812.0154, 'N', 300.964, 'W', 95413.0]
[4812.015, 'N', 300.9641, 'W', 95414.0]
[4812.0147, 'N', 300.9643, 'W', 95415.0]
[4812.0144, 'N', 300.9645, 'W', 95416.0]
[4812.014, 'N', 300.9646, 'W', 95417.0]
[4812.0137, 'N', 300.9648, 'W', 95418.0]
[4812.0134, 'N', 300.9649, 'W', 95419.0]
[4812.0131, 'N', 300.965, 'W', 95420.0]
[4812.0127, 'N', 300.9652, 'W', 95421.0]
[4812.0124, 'N', 300.9653, 'W', 95422.0]
[4812.0121, 'N', 300.9654, 'W', 95423.0]
[4812.0117, 'N', 300.9656, 'W', 95424.0]
[4812.0114, 'N', 300.9657, 'W', 95425.0]
[4812.011, 'N', 300.9657, 'W', 95426.0]
[4812.0106, 'N', 300.9658, 'W', 95427.0]
[4812.0103, 'N', 300.9658, 'W', 95428.0]
[4812.0099, 'N', 300.9658, 'W', 95429.0]
[4812.0095, 'N', 300.9658, 'W', 95430.0]
[4812.0091, 'N', 300.9659, 'W', 95431.0]
[4812.0087, 'N', 300.9659, 'W', 95432.0]
[4812.0083, 'N', 300.9659, 'W', 95433.0]
[4812.0079, 'N', 300.9659, 'W', 95434.0]
[4812.0075, 'N', 300.9659, 'W', 95435.0]
[4812.0071, 'N', 300.9658, 'W', 95436.0]
[4812.0067, 'N', 300.9658, 'W', 95437.0]
[4812.0063, 'N', 300.9657, 'W', 95438.0]
[4812.0059, 'N', 300.9657, 'W', 95439.0]
[4812.0055, 'N', 300.9656, 'W', 95440.0]
[4812.0051, 'N', 300.9655, 'W', 95441.0]
[4812.0047, 'N', 300.9654, 'W', 95442.0]
[4812.0043, 'N', 300.9652, 'W', 95443.0]
[4812.0039, 'N', 300.9651, 'W', 95444.0]
[4812.0035, 'N', 300.965, 'W', 95445.0]
[4812.0032, 'N', 300.9648, 'W', 95446.0]
[4812.0028, 'N', 300.9647, 'W', 95447.0]
[4812.0024, 'N', 300.9645, 'W', 95448.0]
[4812.002, 'N', 300.9643, 'W', 95449.0]
[4812.0016, 'N', 300.9641, 'W', 95450.0]
[4812.0013, 'N', 300.9639, 'W', 95451.0]
[4812.0009, 'N', 300.9638, 'W', 95452.0]
[4812.0005, 'N', 300.9635, 'W', 95453.0]
[4812.0001, 'N', 300.9633, 'W', 95454.0]
[4811.9997, 'N', 300.9631, 'W', 95455.0]
[4811.9994, 'N', 300.9629, 'W', 95456.0]
[4811.999, 'N', 300.9626, 'W', 95457.0]
[4811.9987, 'N', 300.9624, 'W', 95458.0]
[4811.9983, 'N', 300.9621, 'W', 95459.0]
[4811.998, 'N', 300.9619, 'W', 95500.0]
[4811.9976, 'N', 300.9616, 'W', 95501.0]
[4811.9973, 'N', 300.9614, 'W', 95502.0]
[4811.9969, 'N', 300.9611, 'W', 95503.0]
[4811.9966, 'N', 300.9609, 'W', 95504.0]
[4811.9962, 'N', 300.9606, 'W', 95505.0]
[4811.9959, 'N', 300.9603, 'W', 95506.0]
[4811.9955, 'N', 300.96, 'W', 95507.0]
[4811.9952, 'N', 300.9597, 'W', 95508.0]
[4811.9949, 'N', 300.9593, 'W', 95509.0]
[4811.9947, 'N', 300.959, 'W', 95510.0]
[4811.9944, 'N', 300.9587, 'W', 95511.0]
[4811.9941, 'N', 300.9583, 'W', 95512.0]
[4811.9938, 'N', 300.958, 'W', 95513.0]
[4811.9935, 'N', 300.9576, 'W', 95514.0]
[4811.9933, 'N', 300.9572, 'W', 95515.0]
[4811.993, 'N', 300.9568, 'W', 95516.0]
[4811.9927, 'N', 300.9565, 'W', 95517.0]
[4811.9925, 'N', 300.9561, 'W', 95518.0]
[4811.9923, 'N', 300.9557, 'W', 95519.0]
[4811.992, 'N', 300.9554, 'W', 95520.0]
[4811.9918, 'N', 300.955, 'W', 95521.0]
[4811.9916, 'N', 300.9547, 'W', 95522.0]
[4811.9914, 'N', 300.9545, 'W', 95523.0]
[4811.9912, 'N', 300.9542, 'W', 95524.0]
[4811.991, 'N', 300.9539, 'W', 95525.0]
[4811.9908, 'N', 300.9536, 'W', 95526.0]
[4811.9906, 'N', 300.9533, 'W', 95527.0]
[4811.9904, 'N', 300.953, 'W', 95528.0]
[4811.9902, 'N', 300.9526, 'W', 95529.0]
[4811.9901, 'N', 300.9522, 'W', 95530.0]
[4811.9899, 'N', 300.9519, 'W', 95531.0]
[4811.9898, 'N', 300.9516, 'W', 95532.0]
[4811.9897, 'N', 300.9512, 'W', 95533.0]
[4811.9896, 'N', 300.9508, 'W', 95534.0]
[4811.9895, 'N', 300.9505, 'W', 95535.0]
[4811.9894, 'N', 300.9501, 'W', 95536.0]
[4811.9894, 'N', 300.9497, 'W', 95537.0]
[4811.9893, 'N', 300.9493, 'W', 95538.0]
[4811.9892, 'N', 300.9488, 'W', 95539.0]
[4811.9892, 'N', 300.9483, 'W', 95540.0]
[4811.9891, 'N', 300.9478, 'W', 95541.0]
[4811.989, 'N', 300.9473, 'W', 95542.0]
[4811.989, 'N', 300.9468, 'W', 95543.0]
[4811.989, 'N', 300.9464, 'W', 95544.0]
[4811.989, 'N', 300.9459, 'W', 95545.0]
[4811.989, 'N', 300.9454, 'W', 95546.0]
[4811.989, 'N', 300.9449, 'W', 95547.0]
[4811.9889, 'N', 300.9445, 'W', 95548.0]
[4811.9889, 'N', 300.944, 'W', 95549.0]
[4811.9889, 'N', 300.9435, 'W', 95550.0]
[4811.9889, 'N', 300.9431, 'W', 95551.0]
[4811.9889, 'N', 300.9426, 'W', 95552.0]
[4811.9889, 'N', 300.9421, 'W', 95553.0]
